SKU,Description
GM-RO-385,"ROLL, TORQUE CONVERTER (LENGTH: 0.385"", DIA.: 0.313"") (BAG OF 100 PCS)"
FS-90-8G,"HUB, TORQUE CONVERTER, ZF5HP19 (CAPTIVE CLUTCH, SINGLE FRICTION) (PUMP DRIVE STYLE: SLOTS, HUB MOUNT: BUTT MOUNT, MATERIAL: HARDENED STEEL, ASSEMBLED HEIGHT: 1.758"", JOURNAL DIA.: 1.772"")"
RB53861,"BAND AOD: OVERDRIVE (FRONT) - 1 1/2"" NARROW (90-93) (IND: 76320) (RAYBESTOS) (OEM# E0AZ-7F196A)"
77456,"MCS, DIFFERENTIAL, HYUNDAI A6LF1, A8LF1 (OEM# 45840-3B050)"
265700W160,"FR PLATE, HYUNDAI A6MF1/A6MF2, LOW/REVERSE (WAVED) (OD: 6.943"" - 36T)"
265710-173S,"FR PLATE, HYUNDAI A6MF2H, UNDERDRIVE (SEGMENTED) (OD: 5.999"" - 36T)"
265702-180W,"FR PLATE, HYUNDAI A6MF2H, 2-6 BRAKE (WAVED) (OD: 6.963"" - 36T)"
265718-200B,"FR PLATE, HYUNDAI A6MF2H"
265718A290B,"FR PLATE, HYUNDAI A6MF2H (BLACK PAPER)"
K65300,"RING KIT, TOYOTA A42DL, A44DL, A45DL (3M-10T)"
SUB-K7544,SUB KIT
41413-2D500,"SHIFT FORK, HYUNDAI D7UF1 (SECOND GEN) (OEM# 41413-2D500)"
45615-26000,"RETAINER, UNDERDRIVE HYUNDAI (OEM) A6GF1 OEM# 45615-26000)"
45207-4C110,"SENSOR, OUTPUT, VSS, NISSAN RE5R05A CAST# RS-609 (OEM) (3 PIN CONNECTOR) (OEM# 45207-4C000, 45207-4C100, 45207-4C110)"
SUB-K7782,"SUB KIT, VALVE BODY O-RINGS, V4A51"
62301,"MCS, EXTENSION HOUSING (2WD), NISSAN RE5R05A (EXC. A5SR1, A5SR2) (OEM# 31336-X6901"
FNE2-21-2J1AX,"PRESSURE SWITCH, THREADED, MAZDA FNR5 (OEM# FNE2-21-2J1A) (AFTERMARKET)"
33493-42090X,"OIL COOLER, TOYOTA RAV4 2.5L (2013-2016) (OEM# 33493-42090) (AFTERMARKET)"
35820XL,"MODULATOR GM ADJ, TH-350, TH-400 X-LARGE  (69-86)"
026752G,"FR MODULE, FORD 4R100 01+"
026753,"ST MODULE, FORD C6 76-96"
031752HP,FMOD GM TH-400 HI-PERFORMANCE 64-95
031753A,"ST MODULE, GM 4L80E TH400 WITH OVERDRIVE 90-96"
032712,FR GM TH350 INTERMEDIATE
038700-160,FR PLATE 4L30 3 RD CLUTCH 98-ON
046752,"FMOD VW 010, 087, 089, 090 75-93"
046753,"SMOD AUDI 3 SP 75-93 010, 087, 089, 090"
049753,"SMOD FORD AOD,FIOD 80-90"
058752C,FMOD HONDA 4SP W/LU 116mm 86-91
058752K,"FMOD ACURA VIGOR MPWA , M1WA 92-98"
058752M,FMOD INTEGRA MP7A 4SP FWD 94-95
058753A,SMOD HONDA 4SP EARLY 82-E84
058753K,"SMOD ACURA VIGOR MPWA, M1WA 92-98"
059400,"MCS FP MITS KM SERIES, F4A21/22, R4A51, V4A51, R5A51, V5A51, F4A23 (THICKNESS 7 mm)"
059752B,"FMOD KM170, 171, 172 3 Speed 79-88"
065753P,SMOD TOYOTA A541E
071752,"FR MODULE, 722.4 MERCEDES  4 SP 84-96"
071753B,"ST MODULE, MERCEDES BENZ W4A020 722.403 83-97"
075702,FR PLATE NISSAN RE4R01A HI ENERGY  87-UP
107706A200,FR PLATE NISSAN RE4F03A LOW/REVERSE (95-ON)
110753A,"ST MODULE, AW50-42LE 99+"
131826DKP-I,"RING AND PINION KIT, GOOD USED, TOYOTA A130, A131 18x67, 3 I.D. GROOVES, RATIO 3.72, FITS 131 COROLLA, NO DIESEL, INCLUDES PART # 6421 THRU 481"
136752,"FR MODULE, TOYOTA U140E, U140F 98+"
139753A,"SMOD ZF5HP19, FLA 2WD (RWD) 95+"
142752,"FR MODULE, TOYOTA A650 93-ON"
144753,"ST MODULE, TOYOTA U340E, U341E/F 2000-ON"
151753,SMOD 01J 2001-UP
164753,"SMOD HONDA 4 SP MRVA,MCVA 02+"
187702-185,FR  AW81-40LE #2 DIRECT HEG 04+
197753,"ST MODULE, TF-80SC 05-ON"
22759A,"PUMP GEAR TF8,727,518, (.7476-7486) 1978-ON, 49380"
24248957,"SPRAG KIT GM 6L80E, 1.325"" IN THK"
24248958,"SPRAG KIT 6L90E, 1.500"" THK (OEM# 24248958) (REPLACES OEM# 24050202)"
25640,*** USE 67428 *** FILTER A42D A43D (AW70 AW71 Volvo) 1981-Up
25918,PAN GASKET A240/L SERIES 83-97 (FARPAK)
31602GSX,"OVERHAUL KIT, GM 3L30"
33774,"*** USE 76885 *** PISTON AOD, FIOD REVERSE SERVO COVER 1980-92"
40030,"BUSHING KIT TH125/C 3T40,M34, MD9 79-ON GM (13 BUSHINGS)"
41261,"BUSHING KIT, TH250/C, TH350/C 69-86 GM (12 BUSHINGS)"
41931E,BUSHING KIT 4T60E 91-95. (16 BUSHING)
44710A,"*** USE 92716 *** FILTER, 45RFE, 1999-ON 4WD JEEP, DODGE TRUCK"
45142,WASHER KIT A4LD 85-89 FORD
45277-02801,"END COVER, JF405E, HYUNDAI ATOZ, OEM, (IND:N2435401)"
45457-02700,"BEARING, JF405E"
45736-02700,"SUN GEAR,JF405E,(IND:N2436501)"
45783-39502,"SPRAG, REAR MITSUBISHI F4A51 F5A51 (32 ELEMENTS) (0.475"" THICK)"
46330A,BUSHING KIT  AX4N 1995-Up (13 Bushings)
46588-02700,"SPEED SENSOR, JF405E"
48621-39000,"OUTPUT SENSOR, F1C1"
48633-39000,"PRESSURE SENSOR, F1C1 (MARKING# JT500155, E1T41671)"
52-0205,SOLENOID Toyota A340 On/off Lock-up
52-0418-00-00,"SOLENOID JF506E/ 09A, SHIFT A, BROWN. 99-ON"
56991,NEUTRAL SAFETY SWITCH A4LD  86-95 (5 Pin)
69756,"PUMP, FORD/KIA F4A-EL, F4EAT, 4EAT-F )W/4 LUBE HOLES BETWEEN RINGS)"
74700,"BAND, 4EAT-F/F4A-EL: 2-4 (IND: 74700) (IND# FU60-21-310E, F1CZ-7D034-A)"
77764A-NAT,PISTON 4L60E FWD CLUTCH 94+ (OE#24205272) NATIONAL
89740AA-P,"VALVE BODY AW50-42LE (VOLVO) W/ 4 SOLENOIDS,  SOLD AS IS NO WARRANTY"
92700,"PUMP A604 3.0, 3.3, 3.8 92-UP"
93742043,PRESSURE SENSOR ZF4HP16 DAEWOO (BLACK) OE #1063227001
95460-02700,"NEUTRAL SWITCH, JF405E"
96957,NEUTRAL SWITCH AXODE/AX4N  8 Pin 93-97
98990,"HONDA LINEAR (DUAL) ACCORD V6 98-02 4 SP. BAXA, MAXA, B6VA, MDWA, M6HA (OEM# 28250-P6H-024)"
9R7,"RACE, ALLISON MT-640, MT-650, CONVERTER HUB BEARING, HD (OE# 23013907)"
A-111P,"RING KIT, TF-8 7 RINGS S/P"
AOE61CR,"FORWARD DRUM AODE, 4R70W,4R70E LOADED 5 CL, 1 LUB HOLE, INSIDE HUB, 92-2003"
ATK-028,"CVT CHAIN RE0F06A, RE0F06V, ZF VT-23"
B42002A,OVERHAUL KIT KM170 / KM171 / KM172 / KM171-5 (F3A21-2)
B42002E,"OVERHAUL KIT, MITSUBISHI KM175-5, KM176-5, KM177-8"
D96968,AXOD-E   SPEED SENSOR WIRE HARNESS REPAIR KIT   1991 - UP
D98958E,"Honda Speed Sensor 97-02, (BAXA,MAXA,MDWA,M6HA,B6VA)"
DA-48,TORQUE CONVERTER NISSAN RL4R01A
FO364A,"GORVERNOR, SENTRA  5/10, NISSAN"
G-8746A,PISTON KIT MAZDA FN4A-EL (6PCS)
GM-N-13H,BEARING PARTIALLY ENCLOSED
HO-17,"TORQUE CONVERTER HONDA ACCORD 94-95 AAO,AYA  MPO 22 SPLINE TURBINE, 32 SPLINE SATOR , 38 SPLINE PUMP DRIVE"
HO-21,TORQUE CONVERTER HONDA B7TA
K042500,"MODULATOR JATCO ADJ, Nissan L3N71B/L4N71B  NO STRIPE"
K35999U-1,"TUBE UNIVERSAL FILLER TH350, TH400"
K40900CA,"OVERHAUL KIT, VW AUDI 010, 087 , 089, 090"
K41900JB-99,PISTON KIT 4L40E/5L40E/5L50E 1999-09 (EXC-AWD) (11 Pistons)
K45900F,"OVERHAUL KIT, RL3F01A 3 SPEED"
K46900A,OVERHAUL KIT AW/BW55  3 SP 74-81
K48900P,"OVERHAUL KIT MY8A,PY8A HONDA"
K48900T,"OVERHAUL KIT G4,L5,PL5X HONDA"
K51900-99,"PISTON KIT 4T40E, 4T45E 1995-11 (7 PISTONS)"
K57900A,"OVERHAUL KIT MERCEDES 4 SPEED, 722.4, 6 BOLT PAN 1984-97"
K58900F,OVERHAUL KIT JF404E JATCO 2000-ON
K6200C,"MASTER KIT RE4R03A, JR404E 4 SPD RWD L/UP"
K70900-99,PISTON KIT CD4E 93-08 (4 PISTONS)
K71900G-99,PISTON KIT MAZDA FS5A-EL (FNR5) 5 Speed FWD (09 PCS)
K74900GX,"OVERHAUL KIT, ALLISON 1000 / 2000 / 2400. (01-05). W/O PISTONS"
K75900N-99,PISTON KIT U250E (5 SP FWD) (07 PISTONS)
K79900F-99,"PISTON KIT, WAGON R SR410"
K79900N,"OVERHAUL KIT, AW55-50, AW55-51,  AW55-40, AF23"
K83900F-99,PISTON KIT ZF5HP18 91-99 (2PCS)
K83900K-99,"PISTON KIT ZF5HP19/FL/FLA, ZF5HP24/A (01 PISTON)"
K83900LX,OVERHAUL KIT ZF4HP20 W/O PISTONS
K89900G,"OVERHAUL KIT, TOYOTA, A541E"
K89900J,"OVERHAUL KIT, TOYOTA A540H (TRASNFER CASE COMPONENTS NOT INCLUDED)"
KP37900H,"OVERHAUL KIT, 4R70W/4R75E/W 03-10"
KP52900JX,"OVERHAUL KIT GM 6T70E, 6T75E (07-12)"
KP59900F,"OVERHAUL KIT, AXOD/AX4S W PISTONS 1991-1998"
KP59900FX,"OVERHAUL KIT, FORD AXODE/AX4S 91-98 W/O PISTONS"
KP59900R,OVERHAUL KIT AX4N 94-99 W/PISTONS
MB-CP-11KA,"CLUTCH RELEASE KIT, MERCEDES 722.6, 722.9 (INCLUDES: 10 CLUTCH RELEASE SPRINGS (0.510""), 02 STTEL CLTUCH PLATES WITH NOTCHES)"
R74733,4EAT REV/FWD DRUM (1PAN)
R75410,TH125 GOVERNOR ASSY
R80890,"GOVERNOR, F3A GM STYLE, REBUILT"
RK99897,"DRIVE TRAIN, RL4F03A"
RM792,"A500 11"" 26SP L/U 5.2L 90 DEG TORQUE CONVERTER"
RMDA-24,"CONVERTER, 4EAT 11"" 21"
RMF-57N,"TORQUE CONVERTER,5R55N, LOCK-UP 1999-UP; LINCOLN LS, JAGUAR"
T12002CB-VZ,"OVERHAUL KIT,, TF-6 A 904 1972-UP (EXCEPT COLT & ARROW) (ALL PTFE RINGS)"
T53002B,OVERHAUL KIT 4N71B 83-UP
T76002E,OVERHAUL KIT AODE/4R70W 1992-95 (7 METAL 6 PTFE RINGS)
T84002-VZ,"OVERHAUL KIT TH440-T4, 4T60 84-93"
X124706B235,FR PLATE HYUNDAI / KIA A5HF1 06-UP 2nd Brake (1 sided) - internal spline
X133704-160,"FR MAZDA - 4F27E, FS5A-EL 2006-On REVERSE"
X192706-157,"FR ZF4HP16 D Clutch - Brake-Top, 04-ON"
K4800H,"MASTER KIT, HONDA R0,MPRA"
KP52900F,OVERHAUL KIT 4T65E W/O PISTONS 97-06
K7900J,"MASTER KIT 09D (TR60SN) (AUDI, VW, PORSCHE) 6 Speed- RWD 2002-UP"
KP52900E,OVERHAUL KIT 4T60E
K79900J,OVERHAUL KIT 09D (TR-60SN) 6 SP RWD
113753,"ST MODULE, ZF5HP30 91-UP"
K86900DX,"OVERHAUL KIT, TOYOTA A960E W/O PISTONS"
K69900D,"OVERHAUL KIT, SUBARU 5EAT W/PISTONS"
K98900D,"OVERHAUL KIT, HONDA BRZA, GNBA, M5PA, MP5A, SPCA, MPCA, SMMA, SP5A, SPAA, SXEA (W/1 PISTON)"
K98900F,"OVERHAUL KIT, HONDA S9FA, SBLA, SMLA, STYA, SBLA, SYQA"
K98900R,"OVERHAUL KIT, HONDA MURA"
KP52900A,"OVERHAUL KIT 4T60, TH440 84-92 EARLY VERSION"
K59900Z-99,"*** USE K59900YA-99 *** PISTON KIT, FORD 6F35 (GEN 1 AND EARLY GEN 2) (2007-2014)"
D46627,NEUTRAL SAFETY SWITCH 4F27E 99-UP (OEM# 5S4Z-7F293-AA)
X204706-155,"FR 6T40, 6T45, 6F35 4-5-6 CLUTCH 2008-ON"
HO-24,TORQUE CONVERTER HONDA BCLA 2003-2004 4 CYL
FRMTOYTA34,FR MODULE TOYOTA U340/ U341E 4SP 2000-UP
512634,"FR PLATE, CHRYSLER A604/606 LOW/REVERSE 88+"
39741-14K,"SOLENOID MODULATOR ACCUMULATOR PISTON KIT, TF-81SC, FITS FORD (AF21) AND MAZDA (AW6A-EL)"
15741-36K,O-Ringed End Plug KIT
RM594,"TORQUE CONVERTER CHRYSLER A518, A618, 47RE, 47RH, 48RE  LOCK-UP"
042752L,"FR MODULE, NISSAN E4N71B, L4N71B 87-93"
637761,PULLEY SET JF011E JEEP/NISSAN GOOD USED
STMAISIN13,ST MODULE AW TF-81-SC 05-UP
FRMTOYTA52,FR MODULE TOYOTA A44DE/03-72LE 92-UP
FRMTOYTA07,"FR MODULE A40, A41, A43, A40D, A42D/DL, A43D/DE/DL, A44DE/DL, A45DF,"
512770,FR PLATE NISSAN RE4R03A FORWARD BLACK
K41900JA-99,PISTON KIT 5L40E
512568,"FR PLATE  AISIN WARNER VW 09G, K1, 2004-UP"
49181,"ST MODULE, CHRYSLER A413, 470, 670 (81-ON)"
21740AA-P,VALVE BODY AW55-50SN (VOLVO) CAST A)
R586-N,TORQUE CONVERTER CHRYSLER 42RLE (606)
46433,"BUSHING CASE C-6, E4OD, 4R100 89-ON (NO LUBE GROOVE)"
DA-28,TORQUE CONVERTER NISSAN RL4F03A 90-ON SENTRA
R475010T,"FRIC RNG, .075 TAN, FORD E4OD"
108756,PUMP COMPLETE U660E GOOD USED
127583-A,PLANET SET TOYOTA U341E
45561-3A700,"CLUTCH KIT HYUNDAI A5HF1,  2ND BRAKE (30 INTERNAL TEETH) 2005-UP  OEM"
45050-39A01,GASKET SEAL KIT HYUNDAI 2003-UP  ELANTRA OEM
45050-39A00,GASKET SEAL KIT HYUNDAI 2003 SONATA OEM
JF011E-VB,"VALVE BODY, JF011E  GOOD USED"
13131AB,DIFFERENTIAL TOYOTA A245
54755-HP,5R110W REAR PLANET COMPLETE
KP37900K,"*** USE KP37900KA *** OVERHAUL KIT 6R80, 2008-2009"
K59900T-99,PISTON KIT AX4N/4F50N  2004-2007
K73900G-99,PISTON KIT JF011E (2007-2010)
K8300S,MASTER KIT ZF4HP18FLA/FLE
FRMTOYTA41,FR MODULE TOYOTA A650E 98-UP
000474,ST MODULE CD4E 93-UP (2.0L 4 CYL ONLY) (3MM DIRECT CLUTCHES)
R445440K,"FRIC RING, FORD 4R100 2000-UP"
K82900,OVERHAUL KIT ZF3HP22 75-UP
FRMSUBRU11,"FR MODULE SUBARU R4AX-EL, 4EAT, EC-8 1987-ON 4SP 91-UP"
124740-03K,ISOLATOR KIT VALVE
512745,FR PLATE RL4F03A OVERRUN BLACK
50222,SOLENOID VW 02E/DSG DCT SAFETY
458557,"CLUTCH HOUSING LOW REVERSE & 1-2-3-4 ,  6T40E/ 6T45E/ 6T50E OEM NEW"
K48900W,"OVERHAUL KIT HONDA M1WA ACURA, VIGOR"
K75900MTR-99,PISTON KIT A4LB-1 (06 PCS)
U14681,"PAN 6T40E, 6T45E, 6T50E, 6T30E, PLASTIC SIDE"
KP61900A,OVERHAUL KIT CHRYSLER 42RLE LATE MODEL with PISTONS
50-1060,PRESSURE SWITCH HONDA 5 Spd Pressure Switch-26 psi Beige: Honda Odyssey (2007-2 in Unit) 05-07; Acura TL(2 in Unit) 07-08 ; Can Replace 50-1030
KP59900GX,OVERHAUL KIT FORD AXODE/AX4S (w/o pistons)  99-ON
51204,"PAPER GASKET, CHAIN COVER TH-125"
KP37900J-VZ,OVERHAUL KIT FORD 6R60 2006-UP  DOES NOT INCLUDE: 37490 (VB Plate) & 37701XA (Metal Pan Gasket) COMES WITH FARPAK PAN GASKET
000469,FR MODULE FORD A4LD 85-UP WITH OD
K77900FFX,"OVERHAUL KIT, HYUNDAI A6GF1 W/O PISTONS"
KP13900X,OVERHAUL KIT CHRYSLER 45RFE 99-03 W/O PISTONS
STMMITSU02,"ST MODULE MITSUBISHI  KM170,  3 SP 79-ON"
33171A,CHAIN FORD WINDSTAR AX4S (3/8 X 3/4 X 88 RP TYPE) 91-ON IND# HV041 (OEM# F68P-7G249AA)
512726,FR PLATE NISSAN RE4R01A HIGH TAN
000755,FR MODULE GM 4L65E/ 4L70E 03-UP
35529,"OIL COOLER  VW 09G EXTERNAL 09G-409-061 (ROUND, 08 PLATES, 2 STRAIGHT PIPES)"
105752,"FR MODULE NISSAN JF403E, 90-97"
K83900HX,OVERHAUL KIT ZF5HP24 W/O PISTONS
K63900KX-MD,"OVERHAUL KIT NISSAN RE4F03A/B-4SPD, FWD 2007-UP W/O PISTONS"
KP28900A,"OVERHAUL KIT, POWERGLIDE ALUMINUM"
K8900B,OVERHAUL KIT POWERGLIDE IRON (55-62)
F2492,"OVERHAUL KIT, NEON, CARAVAN A413"
F2027,"OVERHAUL KIT, CHRSYLER TF-8"
DC-546,"CONVERTER, A518 5.2 90% (DACCO)"
K36900S-99,"PISTON KIT, FORD 5R110W"
K69900DX,"OVERHAUL KIT, SUBARU 5EAT W/O PISTONS"
K82900P,"OVERHAUL KIT ZF6HP28  2004-10 BMW 5 SERIES (6CYL 3.0L, V8 4.8L), 2007- 12 BMW 6 SERIES, 6CYL 3.0L, V8 4.8L)"
58990,"PISTON, HYUNDAI JF405E"
144704-180,"FR PLATE, TOYOTA U340/41E 2ND BRAKE HEG 99+"
44747,PLANET SET 45RFE
5093166AB,"OVERDRIVE EXTENSION, A618 4X4 CHRYSLER 48RE 03-UP (REPLACES 5093166AA)"
CYS-BJ02,"TESTER FOR STEP MOTOR (COMPATIBLE WITH RE0F09A, JF010E, RE0F10A, JF011E)"
9109,"R&P SEAL KIT, CHEVROLET EPICA 04-06"
075753J,SMOD NISSAN RL4F01A
000454,FR MODULE GM TH125 85- UP
HV-091,"CHAIN MERCEDES RJ TYPE, 2003-ON (HV-091)"
146940,"FILTER HONDA M7WA, BDGA, MGFA,"
512532,"FR PLATE CHRYSLER A500/A518 O/D HI ENERGY , BLACK WAVED"
41997177,GASKET CHANNEL PLATE LOWER 4T60E 91-ON
41997176,"GASKET 4Y60, 4T60E 85-ON CHANNEL PLATE UPPER"
41997032,"GASKET MODULATOR PORT TH440-T4, 4T60 83-93"
K9000D,MASTER KIT RENAULT AD8
133952,"SOLENOID 09G, 09K, TF60, EPC 1,2,3 SHIFT B-1, LINEAR 2003-UP"
46386-22600,"SENSOR, OIL TEMPERATURE HYUNDAI A4BF3"
K8200L,"MASTER KIT CFT-30, CFT30( ZF-CVT) Ford 500, Freestyle, Mercury Montego"
K82900L,"OVERHAUL KIT CFT30 Ford 500, Freestyle, Mercury Montego 2005-07, (W/Transfer Case Components)"
TO-53,CONVERTER TOYOTA A440F
5269870AB,"SENSOR , COOLANT TEMPERATURE"
K79900P-99,"PISTON KIT, GM, SUZUKI, GEO A174 (5 PISTONS) (97-11)"
89411-50010X,"SENSOR, SPEED SENSOR TOYOTA LEXUS A343 TACOMA, 4RUNNER 2.7L AFTERMARKET (OEM# 89411-50010)"
24275868,"VALVE BODY W/TCM, GM 6T70E OEM (INCLUDES 100$ SURCHARGE FOR CORE) (REPLACES 24267181)"
KP95900,"OVERHAUL KIT, SATURN TAAT W/PISTONS"
56041393AA,"SENSOR, ABS SPEED OEM MOPAR"
019752,"FR MODULE, POWERGLIDE ALUMINIUM 62-73"
K40900WX,"OVERHAUL KIT, DL501 (0B5) 7 SPEED DSG W/O PISTONS"
512842,"FR PLATE, F4E EAT 4EAT-F FORWARD 90+ (OEM# FU60-19-610A)"
K83900E-99,"PISTON KIT, ZF5HP30 (A5S560Z). (03 PCS) 1992-03"
K82900M,"OVERHAUL KIT, ZF6HP19A/09L (6 SPEED AWD) AUDI S4, AVANT, CABRIOLET, RS4 2004-09 V8 4.2L, A6 QUATTRO 2005-09 V6 3.2L, V8 4.2L, NON USA MODELS: AUDI A8 2002-10 V6 3.0 & 3.2L, V8 3.7 & 4.2L, AUDI 2006-10 V6 2.7. 3.0 & 3.2L, V8 4.2L"
K62900Z,"OVERHAUL KIT, RE5R01A (JR502E) 5 SPEED RWD, A5S300J"
KP26900-MD,"OVERHAUL KIT, FORD C-4 64-69"
96041866,"SOLENOID, SHIFT 5L40E 1-2/2-3/4-5 OEM"
K73900E,"OVERHAUL KIT, VT1F, CFT25/27 (ZF-CVT)"
FRMMERCE11,"FR MODULE, MERCEDES BENZ 722.6 LARGE ID, K2 (01-ON) ONE SIDED"
90957G,"GASKET, CASE RENAULT DPO, AL4 98-06 (METAL) 1.4L / 1.6L"
76528B-NAT,"PISTON, AOD, FIOD. REVERSE. 2 GROOVES. 3.000"" THK. 1980-92"
56529JA,"PISTON, SERVO OVERDRIVE 5R55N, 5R55W, 5R55S (2.915"") (BLUE)"
A-X9137,"BUSHING KIT, CHRYSLER A518, A618 (11 BUSHINGS) (90-93)"
K1000A,"MASTER KIT, SPS6 (6DCT470, W6DGA) 6 SPEED W/PISTON LANCER EVOLUTION (EVO) 2009-12, LANCER RALLYART 2011-12, CX 2010-12, GALANT FORTIS 2008-12, OUTLANDER 2009-12, CITROEN C-CROSSER (2.4L) 2010-13, PEUGEOT 4007 (2.2L) 2009-10"
515554,"FILTER, MAGNETIC INLINE 3/8"" OPENING (RAYBESTOS)"
175552AA,"HOUSING, ZF5HP19FL/FLA (0.140"" FROM TOP TO SNAP, 04 PLATES) AUDI, VW (CAST# 1060-410-104)"
84540-42010X,"NEUTRAL SWITCH, TOYOTA COROLLA, RAV4, RUKUS, ALPHARD HV"
12767,"DRUM, DIRECT, CHRYSLER TF6, A500"
K7300H-1S,"ST MODULE, JF009E, RE0F08A"
77763A UP,"PISTON 4L60E 3rd,4TH (OE#24200290) (NATIONAL)"
16582GK,"PLANET, REAR FORD 5R55W"
24230719,"NEUTRAL SWITCH, GM 6T40E, 6T45E (OEM# 24230719)"
STMVW02,"ST MODULE, VOLKSWAGEN AG4, 095, 096, 097 89-94 (28 PLATES)"
000684,"FR MODULE, FORD 5R110W 05-UP (4 INT) (24 PLATES)"
46100-3B660,"PUMP, HYUNDAI/KIA A6MF1, A6MF2, A6MF3 (2.220 INCH OD RING TOWER) (OEM# 46100-3B660)"
K82900V-99,"PISTON KIT, HYUNDAI, KIA A8TR1"
183650,"FILTER AND PAN KIT, ZF6HP26, ZF6HP32 07+ (INCLUDES METAL PAN, PAN GASKET, FILTER AND BOLTS)"
46313-3B170,"SOLENOID, HYUNDAI/KIA A6GF1, A6LF1, A6MF1 (TCC, 2-6) (14-UP) (OEM# 46313-3B170)"
K75900PP-MD,"OVERHAUL KIT, DAIHATSU A3LB1, S3S"
79234,"PISTON, MOLDED 09G K1/C1 CLUTCH BALANCER (.475"" TALL)"
K5200ZB-1F,"FR MODULE, GM 6T40/ 6T45 2012-ON (2ND GEN)"
210707-163,"ST PLATE, GM 6T30E 4-5-6 CLUTCH 09+"
K77900HH-99,"PISTON KIT, HYUNDAI A6MF2H, SONATA HYBRID (11-20) KIA OPTIMA HYBRID (11-20)"
000448,"ST MODULE, GM 4T40E, 4T45E (95-ON)"
000533,"ST MODULE, GM TH200-4R,325-4L 81+"
FRMNISSN11,"FR MODULE, NISSAN RE4F02A (STANZA) (89-92)"
025903SK,"SUPER KIT, FORD C-4 W/SHORT BUSHING KIT (69-82)"
K6900E,"MASTER KIT, SUBARU (LINEARTRONIC-CVT) GEN II, TR580"
512158,"FR PLATE, NISSAN RE5R05A LOW COAST, B2 (02-UP)"
512201,"FR PLATE, TOYOTA LEXUS A750E/F FWD (03-UP) (IND# 127103) (OEM# 35633-60070) (H.E.Blk- 30T- OD:4.708"" - RADIAL)"
512202,"FR PLATE, TOYOTA/LEXUS A750E/F REAR (03-UP)"
K9800P,"MASTER KIT, HONDA MDKA, BDKA, MDPA, MDRA"
59710SN,"FILTER, TF81SN, MONDEO DIESEL (08-UP)"
214708-173,"FR PLATE, HYUNDAI A6MF1, CHRYSLER 6F24 LOW/REVERSE 09+"
215752,"FR MODULE, ZF8HP45 8SP 10+"
U55550,"DRUM W/SHAFT, ZF6HP19"
K40900T,"OVERHAUL KIT, 0AM (DQ 200)- 7SPD DSG FWD"
RGPZ-268,"FR MODULE, FORD 10R80, GM 10L80 (17-ON) (GPZ)"
K52900ZC-99,"PISTON KIT, GM 6T40E, 6T45E, 6T50E (GEN III) (05 PCS) (DOES NOT INCLUDE #52052)"
262500A,"OIL PUMP, CHRYSLER 62TE"
K47900,"OVERHAUL KIT, BW65, BW66"
46030B,"BUSHING KIT, FORD 6F35 (09-UP) (12 BUSHINGS)"
STMHONDA54,"ST MODULE, HONDA P36A, B36A (07-10)"
MIF-3,"FILTER, MAGNETIC, INLINE XL30 3/8 (FILTRAN)"
0501216243,"FILTER BMW ZF6HP26, ZF6HP28 W/PAN 04-ON (OEM, ZF BOX)"
02E409061BX,"OIL COOLER, VOLKSWAGEN, AUDI 02E DSG AFTERMARKET (2 HOSES) (04-14)"
46307-4G100,"WIRE HARNESS, HYUNDAI A8LF1 (18-UP)"
10525,"CLUTCH COVER, SPS6 (DCT470) (09-12) (OEM# 2502A034)"
STMTOYTA23,"ST MODULE, TOYOTA A440F (LAND CRUISER) (85-92)"
STMVW01,"ST MODULE, VW 010 (WITH, WITHOUT FINAL DRIVE) (75-ON)"
FRMHONDA44,"FR MODULE, HONDA MP7A (94-95)"
K7700HH,"MASTER KIT, HYUNDAI A6MF2H, SONATA HYBRID (11-15) KIA OPTIMA HYBRID (11-15) W/PISTONS"
75810,"PISTON, TOYOTA U150/U250, OD DRUM/DIREC (W/SHALLOW 0.102"" SNAP RING GROOVE FROM TOP OF DRUM) (OEM# 34601-08010)"
28981A,"ST MODULE, HONDA MPYA, M5HA, M5DA 91-ON"
37381A,"ST MODULE, MITSUBISHI F4A51 96-ON"
24081B,"ST MODULE, TOYOTA A541E (94-ON)"
26781,"ST MODULE, TOYOTA A42DL, A44DL, A45DL (84-94)"
49081,"ST MODULE, A404 78-80"
31473-41X02,"SPRAG, NISSAN RE4R01, RL4R01, RE5R01A, R4A-EL, OVERRUN, LOW (1-2) (93-ON) (OEM)"
211753A,"ST MODULE, AUDI/VW 0BH (DQ500) 7 SPEED"
STMSUZUK01,"ST MODULE, SUZUKI SR410/412-2 88-UP"
82049,"VALVE BODY PLATE, ZF6HP26, ZF6HP28 , A049/B049 (OEM# 1087-327-178)"
K31900E-99,"PISTON KIT, CHRYSLER 40TE"
FRMNISSN38,"FR MODULE, NISSAN RE0F09A, JF010E ECVT"
K7500Y,"MASTER KIT, TOYOTA K114 CVT"
52-0489,"SOLENOID, VW 09G, GREEN CONNECTOR, C1, C2, C2 CLUTCH SHIFT CONTROL, EPC, B1 (USES 05 PER UNIT) (LARGE CANISTER) (REPLACES 52-0566)"
86025,"PISTON, TR80, 0C8, AA80 REVERSE RETAINER (09-14) (OEM# 35666-50020)"
K7900Q-1S,"ST MODULE, AISIN WARNER TW-40LS/E/R4A12 (00-14)"
